Query name,Query description,Query SQL
Get S3 buckets with most read requests,Find S3 buckets with most read requests.,"SELECT element_at(requestParameters, 'bucketName') as bucketName, count(*) as readRequestCount FROM $EDS_ID WHERE eventSource = 's3.amazonaws.com' and element_at(requestParameters, 'bucketName') is not NULL AND regexp_like(eventName, '(?i)(Get|Head|List)') AND eventTime > '2024-06-25 00:00:00' GROUP BY element_at(requestParameters, 'bucketName') ORDER BY readRequestCount DESC"
Get S3 buckets with most read requests by month,Find S3 buckets with most read requests by month.,"SELECT element_at(requestParameters, 'bucketName') as bucketName, date_trunc('month', eventTime) as month, count(*) as readRequestCount FROM $EDS_ID WHERE eventSource = 's3.amazonaws.com' and element_at(requestParameters, 'bucketName') is not NULL AND regexp_like(eventName, '(?i)(Get|Head|List)') AND eventTime > '2024-01-04 00:00:00' GROUP BY element_at(requestParameters, 'bucketName'), date_trunc('month', eventTime) ORDER BY month DESC, readRequestCount DESC"
Get least recently used S3 buckets,Find the least recently used S3 buckets.,"SELECT element_at(requestParameters, 'bucketName') as bucketName, max(eventTime) as lastUsage FROM $EDS_ID WHERE eventSource = 's3.amazonaws.com' and element_at(requestParameters, 'bucketName') is not NULL AND eventTime > '2024-06-25 00:00:00' GROUP BY element_at(requestParameters, 'bucketName') ORDER BY lastUsage ASC"
Track S3 bucket access changes,Find S3 bucket access changes.,"SELECT element_at(requestParameters, 'bucketName') as bucketName, eventTime, requestParameters FROM $EDS_ID WHERE eventsource = 's3.amazonaws.com' AND eventName in ('PutBucketAcl', 'DeleteBucketPolicy', 'PutBucketPolicy', 'PutBucketCors','PutBucketLifecycle', 'PutBucketReplication', 'DeleteBucketCors', 'DeleteBucketReplication') AND eventTime > '2024-06-25 00:00:00'"
Get ListBuckets calls coming from an EC2 instance profile,Find ListBuckets calls coming from an EC2 instance profile.,"SELECT DISTINCT element_at(split(element_at(split(useridentity.arn, ':'), -1), '/'), -1) as roleSessionName FROM $EDS_ID WHERE eventsource = 's3.amazonaws.com' AND eventName LIKE 'ListBuckets' AND element_at(split(element_at(split(useridentity.arn, ':'), -1), '/'), -1) LIKE 'i-%' AND eventTime > '2024-06-25 00:00:00'"
Get ListBuckets calls coming from an EC2 instance profile,Find ListBuckets calls coming from an EC2 instance profile.,"SELECT DISTINCT element_at(split(element_at(split(useridentity.arn, ':'), -1), '/'), -1) as roleSessionName FROM $EDS_ID WHERE eventsource = 's3.amazonaws.com' AND eventName LIKE 'ListBuckets' AND element_at(split(element_at(split(useridentity.arn, ':'), -1), '/'), -1) LIKE 'i-%' AND eventTime > '2024-06-25 00:00:00'"
Get ListBuckets calls coming from an EC2 instance profile,Find ListBuckets calls coming from an EC2 instance profile.,"SELECT DISTINCT element_at(split(element_at(split(useridentity.arn, ':'), -1), '/'), -1) as roleSessionName FROM $EDS_ID WHERE eventsource = 's3.amazonaws.com' AND eventName LIKE 'ListBuckets' AND element_at(split(element_at(split(useridentity.arn, ':'), -1), '/'), -1) LIKE 'i-%' AND eventTime > '2024-06-25 00:00:00'"
Track S3 public access configuration changes,Find S3 public access configuration changes.,"SELECT * FROM $EDS_ID WHERE eventSource = 's3.amazonaws.com' AND eventName in ('PutPublicAccessBlock', 'DeleteAccountPublicAccessBlock') AND eventTime > '2024-06-25 00:00:00'"
Track S3 log lifecycle expiration policy disablement events,Find events that disabled S3 log lifecycle expiration policies.,"SELECT * FROM $EDS_ID WHERE eventName = 'PutBucketLifecycle' AND eventTime < date_trunc('day', current_timestamp) AND eventTime > '2024-06-25 00:00:00' AND json_array_length(json_extract(element_at(requestParameters, 'LifecycleConfiguration'), '$.Rule[?(@.Status === ""Enabled"")]')) > 0 AND json_array_length(json_extract(element_at(requestParameters, 'LifecycleConfiguration'), '$.Rule[*].Expiration.Days')) > 0"
Track S3 log lifecycle expiration policies set to less than 90 days,Find S3 log lifecycle expiration policies that are set to less than 90 days.,"SELECT * FROM $EDS_ID WHERE eventName = 'PutBucketLifecycle' AND eventTime < date_trunc('day', current_timestamp) AND eventTime > '2024-06-25 00:00:00' AND json_array_length(json_extract(element_at(requestParameters, 'LifecycleConfiguration'), '$.Rule[?(@.Expiration.Days < 90)]')) > 0"
Track S3 buckets whose MFA is deleted or versioning is suspended,Find S3 buckets whose MFA is deleted or versioning is suspended.,"SELECT json_extract(element_at(requestParameters, 'VersioningConfiguration'), '$.Status'), requestParameters FROM $EDS_ID WHERE eventSource = 's3.amazonaws.com' AND eventTime > '2024-06-25 00:00:00' AND (cast(json_extract(element_at(requestParameters, 'VersioningConfiguration'), '$.Status') as varchar) = 'Suspended' OR cast(json_extract(element_at(requestParameters, 'VersioningConfiguration'), '$.MfaDelete') as varchar) = 'Disabled')"
Get age of DynamoDB tables,Find the age of each DynamoDB table.,"SELECT element_at(requestParameters, 'tableName') as tableName, DATE_DIFF('millisecond', eventTime, now()) AS table_age_ms FROM $EDS_ID WHERE eventSource = 'dynamodb.amazonaws.com' AND eventName = 'CreateTable' AND eventTime > '2024-06-25 00:00:00'"
Get usage of DynamoDB table indexes in queries,Find the usage of DynamoDB table indexes in queries.,"SELECT element_at(requestParameters, 'indexName') as indexName, count(*) AS indexUsageCount FROM $EDS_ID WHERE eventSource = 'dynamodb.amazonaws.com' AND eventName = 'Query' AND eventTime > '2024-06-25 00:00:00' GROUP BY element_at(requestParameters, 'indexName') ORDER BY indexUsageCount DESC"
Get fields used in DynamoDB table scans,Find the fields used in DynamoDB table scans.,"SELECT element_at(requestParameters, 'tableName') as tableName, scanfields, count(*) as field_usage_count FROM $EDS_ID CROSS JOIN UNNEST(map_values(cast(json_parse(element_at(requestParameters, 'expressionAttributeNames')) as map(varchar, varchar)))) as t (scanfields) WHERE eventSource = 'dynamodb.amazonaws.com' AND eventName = 'Scan' AND eventTime > '2024-06-25 00:00:00' GROUP BY element_at(requestParameters, 'tableName'), scanfields ORDER BY field_usage_count DESC"
Get fields used in DynamoDB table queries,Find the fields used in DynamoDB table queries.,"SELECT element_at(requestParameters, 'tableName') as tableName, queryfields, count(*) as field_usage_count FROM $EDS_ID CROSS JOIN UNNEST(map_values(cast(json_parse(element_at(requestParameters, 'expressionAttributeNames')) as map(varchar, varchar)))) as t (queryfields) WHERE eventSource = 'dynamodb.amazonaws.com' AND eventName = 'Query' AND eventTime > '2024-06-25 00:00:00' GROUP BY element_at(requestParameters, 'tableName'), queryfields ORDER BY field_usage_count DESC"
Get frequently used DynamoDB table indexes by month,Find the most frequently used DynamoDB table indexes by month.,"SELECT element_at(requestParameters, 'indexName') as indexName, count(*) as indexUsageCount, date_trunc('month', eventTime) as month FROM $EDS_ID WHERE eventSource = 'dynamodb.amazonaws.com' AND eventName = 'Query' AND eventTime > '2024-01-04 00:00:00' GROUP BY element_at(requestParameters, 'indexName'), date_trunc('month', eventTime) ORDER BY month DESC, indexUsageCount DESC"
Get frequently used fields in DynamoDB scans by month,Find the fields most frequently used in DynamoDB scans by month.,"SELECT element_at(requestParameters, 'tableName') as tableName, scanfields, date_trunc('month', eventTime) as month, count(*) as field_usage_count FROM $EDS_ID CROSS JOIN UNNEST(map_values(cast(json_parse(element_at(requestParameters, 'expressionAttributeNames')) as map(varchar,varchar)))) as t (scanfields) WHERE eventSource = 'dynamodb.amazonaws.com'AND eventName = 'Scan' AND eventTime > '2024-01-04 00:00:00' GROUP BY element_at(requestParameters, 'tableName'), scanfields, date_trunc('month', eventTime) ORDER BY month DESC, field_usage_count DESC"
Get frequently used fields in DynamoDB queries by month,Find the fields most frequently used in DynamoDB queries by month.,"SELECT element_at(requestParameters, 'tableName') as tableName, queryfields, date_trunc('month', eventTime) as month, count(*) as field_usage_count FROM $EDS_ID CROSS JOIN UNNEST(map_values(cast(json_parse(element_at(requestParameters, 'expressionAttributeNames')) as map(varchar, varchar)))) as t (queryfields) WHERE eventSource = 'dynamodb.amazonaws.com' AND eventName = 'Query' AND eventTime > '2024-01-04 00:00:00' GROUP BY element_at(requestParameters, 'tableName'), queryfields, date_trunc('month', eventTime) ORDER BY month DESC, field_usage_count DESC"
Get most throttled DynamoDB tables,Get most throttled DynamoDB tables.,"SELECT element_at(requestParameters, 'tableName') as tableName, count(*) as throttledCallCount FROM $EDS_ID WHERE eventSource = 'dynamodb.amazonaws.com' AND (errorCode like '%Throttling%' OR errorCode like '%Exceeded%') AND eventTime > '2024-06-25 00:00:00' GROUP BY element_at(requestParameters, 'tableName') ORDER BY throttledCallCount DESC"
Get most throttled DynamoDB tables by month,Get most throttled DynamoDB tables by month.,"SELECT element_at(requestParameters, 'tableName') as tableName, date_trunc('month', eventTime) as month, count(*) as throttledCallCount FROM $EDS_ID WHERE eventSource = 'dynamodb.amazonaws.com' AND (errorCode like '%Throttling%' OR errorCode like '%Exceeded%') AND eventTime > '2024-01-04 00:00:00' GROUP BY element_at(requestParameters, 'tableName'), date_trunc('month', eventTime) ORDER BY month DESC, throttledCallCount DESC"
Get most throttled DynamoDB indexes,Get most throttled DynamoDB indexes.,"SELECT element_at(requestParameters, 'indexName') as indexName, count(*) as throttledCallCount FROM $EDS_ID WHERE eventSource = 'dynamodb.amazonaws.com' AND (errorCode like '%Throttling%' OR errorCode like '%Exceeded%') AND eventTime > '2024-06-25 00:00:00' GROUP BY element_at(requestParameters, 'indexName') ORDER BY throttledCallCount DESC"
Get most throttled DynamoDB indexes by month,Get most throttled DynamoDB indexes by month.,"SELECT element_at(requestParameters, 'indexName') as indexName, date_trunc('month', eventTime) as month, count(*) as throttledCallCount FROM $EDS_ID WHERE eventSource = 'dynamodb.amazonaws.com' AND (errorCode like '%Throttling%' OR errorCode like '%Exceeded%') AND eventTime > '2024-01-04 00:00:00' GROUP BY element_at(requestParameters, 'indexName'), date_trunc('month', eventTime) ORDER BY month DESC, throttledCallCount DESC"
Get DynamoDB tables with most write requests,Find DynamoDB tables with most write requests.,"SELECT element_at(requestParameters, 'tableName'), count(*) as countOfWrites FROM $EDS_ID WHERE eventSource = 'dynamodb.amazonaws.com' AND regexp_like(eventName, '(?i)(Write|Put|agResource|Delete|Update)') AND eventTime > '2024-06-25 00:00:00' GROUP BY element_at(requestParameters, 'tableName') ORDER BY countOfWrites DESC"
Get DynamoDB tables with most write requests by month,Find DynamoDB tables with most write requests by month.,"SELECT element_at(requestParameters, 'tableName'), date_trunc('month', eventTime) as month, count(*) as countOfWrites FROM $EDS_ID WHERE eventSource = 'dynamodb.amazonaws.com' AND regexp_like(eventName, '(?i)(Write|Put|agResource|Delete|Update)') AND eventTime > '2024-01-04 00:00:00' GROUP BY element_at(requestParameters, 'tableName'), date_trunc('month', eventTime) ORDER BY month DESC, countOfWrites DESC"
Get DynamoDB tables with most reads,Find DynamoDB tables with most read calls.,"SELECT resources[1].arn as tableIdentifier, count(*) as readRequestCount FROM $EDS_ID WHERE eventSource = 'dynamodb.amazonaws.com' and cardinality(resources) > 0 AND regexp_like(eventName, '(?i)(Get|Describe|Query|Scan|ListTags)') AND eventTime > '2024-06-25 00:00:00' GROUP BY resources[1].arn ORDER BY readRequestCount DESC"
Get DynamoDB tables with most read requests by month,Find DynamoDB tables with most read requests by month.,"SELECT resources[1].arn as tableIdentifier, date_trunc('month', eventTime) as month, count(*) as readRequestCount FROM $EDS_ID WHERE eventSource = 'dynamodb.amazonaws.com' and cardinality(resources) > 0 AND regexp_like(eventName, '(?i)(Get|Describe|Query|Scan|ListTags)') AND eventTime > '2024-01-04 00:00:00' GROUP BY resources[1].arn, date_trunc('month', eventTime) ORDER BY month DESC, readRequestCount DESC"
Get least recently used DynamoDB tables,Find the least recently used DynamoDB tables.,"SELECT element_at(requestParameters, 'tableName') as tableIdentifier, max(eventTime) as lastUsage FROM $EDS_ID WHERE eventSource = 'dynamodb.amazonaws.com' and element_at(requestParameters, 'tableName') is not NULL AND eventTime > '2024-06-25 00:00:00' GROUP BY element_at(requestParameters, 'tableName') ORDER BY lastUsage ASC"
Get age of non-terminated RDS instances,Find the age of non-terminated RDS instances.,"SELECT element_at(requestParameters, 'dBInstanceIdentifier') as instanceIdentifier, DATE_DIFF('millisecond', eventTime, now()) AS instance_age_ms FROM $EDS_ID WHERE eventsource = 'rds.amazonaws.com' AND eventname like 'Create%' AND element_at(requestParameters, 'dBInstanceIdentifier') != '' AND eventTime > '2024-06-25 00:00:00' AND element_at(requestParameters, 'dBInstanceIdentifier') not in ( SELECT element_at(requestParameters, 'dBInstanceIdentifier') FROM $EDS_ID WHERE eventsource = 'rds.amazonaws.com' AND eventname like 'Delete%' AND eventTime > '2024-06-25 00:00:00' )"
Get most frequently used KMS keys,Find the most frequently used KMS keys.,"SELECT kmsKey.arn, count(*) as keyUsageCount FROM $EDS_ID CROSS JOIN UNNEST(resources) as kmsKey (accountid, type, arn, last) WHERE eventsource='kms.amazonaws.com' AND eventName in ('Decrypt', 'Encrypt', 'GenerateDataKey', 'GenerateDataKeyWithoutPlaintext') AND eventTime > '2024-06-25 00:00:00' GROUP BY kmsKey.arn ORDER BY keyUsageCount DESC"
Get most frequent users of KMS keys,Find the most frequent users of KMS keys.,"SELECT distinct kmsKey.arn as keyArn, useridentity.arn as userArn, userAgent, count(*) as keyUsageCount FROM $EDS_ID CROSS JOIN UNNEST(resources) as kmsKey (accountid, type, arn, last) WHERE eventsource='kms.amazonaws.com' AND eventName in ('Decrypt', 'Encrypt', 'GenerateDataKey', 'GenerateDataKeyWithoutPlaintext') AND eventTime > '2024-06-25 00:00:00' GROUP BY kmsKey.arn, useridentity.arn, userAgent ORDER BY keyUsageCount DESC"
Get most frequently used KMS keys by month,Find the most frequently used KMS keys by month.,"SELECT kmsKey.arn, date_trunc('month', eventTime) as month, count(*) as keyUsageCount FROM $EDS_ID CROSS JOIN UNNEST(resources) as kmsKey (accountid, type, arn, last) WHERE eventsource='kms.amazonaws.com' AND eventName in ('Decrypt', 'Encrypt', 'GenerateDataKey', 'GenerateDataKeyWithoutPlaintext') AND eventTime > '2024-01-04 00:00:00' GROUP BY kmsKey.arn, date_trunc('month', eventTime) ORDER BY month desc, keyUsageCount DESC"
Get all aliases that have been assigned to each KMS key,Find all the aliases that have been assigned to each KMS key.,"SELECT element_at(requestParameters, 'targetKeyId') as keyId, array_agg(distinct element_at(requestParameters, 'aliasName')) as aliases FROM $EDS_ID WHERE eventsource ='kms.amazonaws.com' AND eventName in ('CreateAlias', 'UpdateAlias') AND eventTime > '2024-06-25 00:00:00' GROUP BY element_at(requestParameters, 'targetKeyId')"
Get the alias most recently assigned to each KMS key,Find the alias most recently assigned to each KMS key.,"SELECT element_at(requestParameters, 'targetKeyId') as keyId, max_by(distinct element_at(requestParameters, 'aliasName'), eventTime) as mostRecentAlias FROM $EDS_ID WHERE eventsource = 'kms.amazonaws.com' AND eventName in ('CreateAlias', 'UpdateAlias') AND eventTime > '2024-06-25 00:00:00' GROUP BY element_at(requestParameters, 'targetKeyId')"
Track the users whose KMS API calls failed due to missing IAM permissions,Find the users whose KMS API calls failed due to missing IAM permissions.,"SELECT distinct kmsKey.arn as keyArn, useridentity.arn as userArn, userAgent, count(*) as accessDeniedErrorCount FROM $EDS_ID CROSS JOIN UNNEST(resources) as kmsKey (accountid, type, arn, last) WHERE eventsource = 'kms.amazonaws.com' AND errorcode = 'AccessDenied' AND eventTime > '2024-06-25 00:00:00' GROUP BY kmsKey.arn, useridentity.arn, userAgent ORDER BY accessDeniedErrorCount DESC"
Get a list of resources subscribed to an SNS topic,Find the list of resources subscribed to an SNS topic.,"SELECT distinct element_at(subscribed.requestparameters, 'endpoint') as subscribedResources, element_at(subscribed.requestParameters, 'topicArn') as topicArn, element_at(subscribed.responseelements, 'subscriptionArn') as subscriptionArn FROM $EDS_ID as subscribed WHERE subscribed.eventSource = 'sns.amazonaws.com' AND subscribed.eventName = 'Subscribe' AND subscribed.errorCode is NULL AND element_at(subscribed.requestParameters, 'topicArn') = 'arn:aws:sns:us-east-1:123456789012:topicName' AND subscribed.eventTime > '2024-06-25 00:00:00' AND not exists ( SELECT element_at(unsubscribed.requestparameters, 'subscriptionArn') FROM $EDS_ID as unsubscribed WHERE unsubscribed.eventSource = 'sns.amazonaws.com' AND unsubscribed.eventName = 'Unsubscribe' AND unsubscribed.errorCode is NULL AND element_at(subscribed.responseelements, 'subscriptionArn') = element_at(unsubscribed.requestParameters, 'subscriptionArn') AND unsubscribed.eventTime > '2024-06-25 00:00:00' )"
Count the number of messages published per SNS topic,Find the count of messages published per SNS topic.,"SELECT element_at(requestParameters, 'topicArn') as topicArn, sum(coalesce(json_array_length(json_parse(element_at(responseelements, 'successful'))), 1)) as totalNumberOfMessages FROM $EDS_ID as subscribed WHERE eventSource = 'sns.amazonaws.com' AND eventName LIKE 'Publish%' AND errorCode is null AND eventTime > '2024-06-25 00:00:00' GROUP BY element_at(requestParameters, 'topicArn') ORDER BY totalNumberOfMessages DESC"
Count messages published by each SNS topic per month,Find the count of messages published per SNS topic per month.,"SELECT element_at(requestParameters, 'topicArn') as topicArn, date_trunc('month', eventTime) as month, sum(coalesce(json_array_length(json_parse(element_at(responseelements, 'successful'))), 1)) as totalNumberOfMessages FROM $EDS_ID as subscribed WHERE eventSource = 'sns.amazonaws.com' AND eventName LIKE 'Publish%' AND errorCode is null AND eventTime > '2024-01-04 00:00:00' GROUP BY date_trunc('month', eventTime) , element_at(requestParameters, 'topicArn') ORDER BY date_trunc('month', eventTime) DESC, totalNumberOfMessages DESC"
Count the number of SNS messages published per month,Find the count of SNS messages published per month.,"SELECT date_trunc('month', eventTime) as month, sum(coalesce(json_array_length(json_parse(element_at(responseelements, 'successful'))), 1)) as totalNumberOfMessages FROM $EDS_ID as subscribed WHERE eventSource = 'sns.amazonaws.com' AND eventName LIKE 'Publish%' AND errorCode is null AND eventTime > '2024-01-04 00:00:00' GROUP BY date_trunc('month', eventTime) ORDER BY date_trunc('month', eventTime) DESC"
Count the number of throttled SNS messages per topic,Find the count of throttled SNS messages per topic.,"SELECT element_at(requestParameters, 'topicArn') as topicArn, sum(coalesce(json_array_length(json_parse(element_at(responseelements, 'failed'))), 1)) as totalNumberOfMessages FROM $EDS_ID as subscribed WHERE eventSource = 'sns.amazonaws.com' AND eventName LIKE 'Publish%' AND errorCode LIKE 'Throttling%' AND eventTime > '2024-01-04 00:00:00' GROUP BY element_at(requestParameters, 'topicArn') ORDER BY totalNumberOfMessages DESC"
Count the number of throttled SNS messages per month,Find the total count of throttled SNS messages per month.,"SELECT date_trunc('month', eventTime) as month, sum(coalesce(json_array_length(json_parse(element_at(responseelements, 'failed'))), 1)) as totalNumberOfMessages FROM $EDS_ID as subscribed WHERE eventSource = 'sns.amazonaws.com' AND eventName LIKE 'Publish%' AND errorCode LIKE 'Throttling%' AND eventTime > '2024-01-04 00:00:00' GROUP BY date_trunc('month', eventTime) ORDER BY date_trunc('month', eventTime) DESC"
Count throttled SNS messages by each topic per month,Find the count of throttled SNS messages per topic on a monthly basis.,"SELECT element_at(requestParameters, 'topicArn') as topicArn, date_trunc('month', eventTime) as month, sum(coalesce(json_array_length(json_parse(element_at(responseelements, 'failed'))), 1)) as totalNumberOfMessages FROM $EDS_ID as subscribed WHERE eventSource = 'sns.amazonaws.com' AND eventName LIKE 'Publish%' AND errorCode LIKE 'Throttling%' AND eventTime > '2024-01-04 00:00:00' GROUP BY date_trunc('month', eventTime) , element_at(requestParameters, 'topicArn') ORDER BY date_trunc('month', eventTime) DESC, totalNumberOfMessages DESC"
Count SQS messages sent to each queue,Find the count of SQS messages sent per queue.,"SELECT element_at(requestParameters, 'queueUrl') as queueUrl, sum(coalesce(json_array_length(json_parse(element_at(responseelements, 'successful'))), 1)) as totalNumberOfMessages FROM $EDS_ID WHERE eventSource = 'sqs.amazonaws.com' AND eventName LIKE 'SendMessage%' AND errorcode is null AND eventTime > '2024-06-25 00:00:00' GROUP BY element_at(requestParameters, 'queueUrl') ORDER BY totalNumberOfMessages DESC"
Count SQS messages sent by each queue per month,Find the count of SQS messages sent per queue on a monthly basis.,"SELECT element_at(requestParameters, 'queueUrl') as queueUrl, date_trunc('month', eventTime) as month, sum(coalesce(json_array_length(json_parse(element_at(responseelements, 'successful'))), 1)) as totalNumberOfMessages FROM $EDS_ID WHERE eventSource = 'sqs.amazonaws.com' AND eventName LIKE 'SendMessage%' AND errorcode is null AND eventTime > '2024-01-04 00:00:00' GROUP BY element_at(requestParameters, 'queueUrl'), date_trunc('month', eventTime) ORDER BY month DESC, totalNumberOfMessages DESC"
Count total SQS messages sent per month,Find the count of SQS messages sent on a monthly basis.,"SELECT date_trunc('month', eventTime) as month, sum(coalesce(json_array_length(json_parse(element_at(responseelements, 'successful'))), 1)) as totalNumberOfMessages FROM $EDS_ID WHERE eventSource = 'sqs.amazonaws.com' AND eventName LIKE 'SendMessage%' AND errorcode is null AND eventTime > '2024-01-04 00:00:00' GROUP BY date_trunc('month', eventTime) ORDER BY month DESC, totalNumberOfMessages DESC"
Count throttled SQS messages in each queue,Find the count of throttled SQS messages per queue.,"SELECT element_at(requestParameters, 'queueUrl') as queueUrl, sum(coalesce(json_array_length(json_parse(element_at(responseelements, 'failed'))), 1)) as totalNumberOfMessages FROM $EDS_ID WHERE eventSource = 'sqs.amazonaws.com' AND eventName LIKE 'SendMessage%' AND errorcode like 'Throttling%' AND eventTime > '2024-06-25 00:00:00' GROUP BY element_at(requestParameters, 'queueUrl') ORDER BY totalNumberOfMessages DESC"
Count throttled SQS messages in queues by month,Find the throttled SQS message count of queues on a monthly basis.,"SELECT element_at(requestParameters, 'queueUrl') as queueUrl, date_trunc('month', eventTime) as month, sum(coalesce(json_array_length(json_parse(element_at(responseelements, 'failed'))), 1)) as totalNumberOfMessages FROM $EDS_ID WHERE eventSource = 'sqs.amazonaws.com' AND eventName LIKE 'SendMessage%' AND errorcode like 'Throttling%' AND eventTime > '2024-06-25 00:00:00' GROUP BY element_at(requestParameters, 'queueUrl'), date_trunc('month', eventTime) ORDER BY month DESC, totalNumberOfMessages DESC"
Count the number of throttled SQS messages per month,Find the count of throttled SQS messages per month.,"SELECT date_trunc('month', eventTime) as month, sum(coalesce(json_array_length(json_parse(element_at(responseelements, 'failed'))), 1)) as totalNumberOfMessages FROM $EDS_ID WHERE eventSource = 'sqs.amazonaws.com' AND eventName LIKE 'SendMessage%' AND errorcode like 'Throttling%' AND eventTime > '2024-01-04 00:00:00' GROUP BY date_trunc('month', eventTime) ORDER BY month DESC, totalNumberOfMessages DESC"
Detect EventBridge rule disablement and deletion events,Find EventBridge rule disablement and deletion events.,"SELECT * FROM $EDS_ID WHERE eventsource = 'events.amazonaws.com' AND eventName in ('DeleteRule', 'DisableRule') AND eventTime > '2024-06-25 00:00:00'"
Get list of distinct KMS key IDs,Find distinct KMS key IDs.,"SELECT distinct element_at(requestParameters, 'keyId') as kmsKeyId FROM $EDS_ID WHERE eventSource = 'kms.amazonaws.com' AND eventTime > '2024-06-25 00:00:00'"
Count readOnly calls made to Glue by different users,Find the number of readOnly calls made to Glue by different users in a day.,"SELECT useridentity.sessioncontext.sessionissuer.arn, COUNT(*) AS countOfReadOnlyCalls FROM $EDS_ID WHERE eventsource = 'glue.amazonaws.com' AND readonly = true AND eventTime > '2024-06-25 00:00:00' GROUP BY useridentity.sessioncontext.sessionissuer.arn ORDER BY countOfReadOnlyCalls DESC"
Get second of the day with the most readOnly Glue calls,Find the second of the day that has the most readOnly Glue calls.,"SELECT eventtime, COUNT(*) AS countOfReadOnlyCalls FROM $EDS_ID WHERE eventsource = 'glue.amazonaws.com' AND readonly = true AND eventTime > '2024-06-25 00:00:00' GROUP BY eventtime ORDER BY countOfReadOnlyCalls DESC"
Check how recently each Lambda function's code was updated,Check how recently each Lambda function's code was updated.,"SELECT element_at(requestParameters, 'functionName') as functionName, max(eventTime) as mostRecentUpdateTime FROM $EDS_ID WHERE eventSource = 'lambda.amazonaws.com' AND eventName LIKE 'UpdateFunction%' AND eventTime > '2024-06-25 00:00:00' GROUP BY element_at(requestParameters, 'functionName') ORDER BY mostRecentUpdateTime"
Check the update frequency for each Lambda function,Check the update frequency of each Lambda function.,"SELECT element_at(requestParameters, 'functionName') as functionName, count(*) as countOfLambdaUpdates FROM $EDS_ID WHERE eventSource = 'lambda.amazonaws.com' AND eventName LIKE 'UpdateFunction%' AND eventTime > '2024-06-25 00:00:00' GROUP BY element_at(requestParameters, 'functionName') ORDER BY countOfLambdaUpdates DESC"
Investigate who updated Lambda functions,Find the number of times each user updated Lambda functions.,"SELECT element_at(requestParameters, 'functionName') as functionName, useridentity.arn, count(*) as countOfLambdaUpdates FROM $EDS_ID WHERE eventSource = 'lambda.amazonaws.com' AND eventName LIKE 'UpdateFunction%' AND eventTime > '2024-06-25 00:00:00' GROUP BY element_at(requestParameters, 'functionName'), useridentity.arn ORDER BY useridentity.arn, element_at(requestParameters, 'functionName'), countOfLambdaUpdates DESC"
Find the users with the most Lambda code contributions,Find the users with the most Lambda code contributions.,"SELECT useridentity.arn, count(*) as countOfLambdaUpdates FROM $EDS_ID WHERE eventSource = 'lambda.amazonaws.com' AND eventName LIKE 'UpdateFunction%' AND eventTime > '2024-06-25 00:00:00' GROUP BY useridentity.arn ORDER BY countOfLambdaUpdates DESC"
Find the users with the most Lambda code contributions by month,Find the users with the most Lambda code contributions on a monthly basis.,"SELECT useridentity.arn, date_trunc('month', eventTime), count(*) as countOfLambdaUpdates FROM $EDS_ID WHERE eventSource = 'lambda.amazonaws.com' AND eventName LIKE 'UpdateFunction%' AND eventTime > '2024-01-04 00:00:00' GROUP BY useridentity.arn, date_trunc('month', eventTime) ORDER BY date_trunc('month', eventTime) DESC, countOfLambdaUpdates DESC"
Track users that invoked Lambda functions,Find the users who invoked Lambda functions.,"SELECT useridentity.arn, count(*) as countOfLambdaInvocations FROM $EDS_ID WHERE eventSource = 'lambda.amazonaws.com' AND eventName LIKE 'Invoke%' AND eventTime > '2024-06-25 00:00:00' GROUP BY useridentity.arn ORDER BY countOfLambdaInvocations DESC"
Track users that invoked Lambda functions by month,Find the users who invoked Lambda functions on a monthly basis.,"SELECT useridentity.arn, date_trunc('month', eventTime), count(*) as countOfLambdaInvocations FROM $EDS_ID WHERE eventSource = 'lambda.amazonaws.com' AND eventName LIKE 'Invoke%' AND eventTime > '2024-01-04 00:00:00' GROUP BY useridentity.arn, date_trunc('month', eventTime) ORDER BY date_trunc('month', eventTime) DESC, countOfLambdaInvocations DESC"
Track Lambda invocation frequency,Find the number of Lambda invocations.,"SELECT element_at(requestParameters, 'functionName') as functionName, count(*) as countOfLambdaInvocations FROM $EDS_ID WHERE eventSource = 'lambda.amazonaws.com' AND eventName LIKE 'Invoke%' AND eventTime > '2024-06-25 00:00:00' GROUP BY element_at(requestParameters, 'functionName') ORDER BY countOfLambdaInvocations DESC"
Track Lambda invocation frequency by month,Find the number of Lambda invocations on a monthly basis.,"SELECT element_at(requestParameters, 'functionName') as functionName, date_trunc('month', eventtime) as month, count(*) as countOfLambdaInvocations FROM $EDS_ID WHERE eventSource = 'lambda.amazonaws.com' AND eventName LIKE 'Invoke%' AND eventTime > '2024-01-04 00:00:00' GROUP BY element_at(requestParameters, 'functionName'), date_trunc('month', eventtime) ORDER BY month DESC, countOfLambdaInvocations DESC"
Track the user Lambda function invocation frequency by month,Find the number of Lambda invocations per user on a monthly basis.,"SELECT element_at(requestParameters, 'functionName') as functionName, useridentity.arn, date_trunc('month', eventTime) as month, count(*) as countOfLambdaInvocations FROM $EDS_ID WHERE eventSource = 'lambda.amazonaws.com' AND eventName LIKE 'Invoke%' AND eventTime > '2024-01-04 00:00:00' GROUP BY element_at(requestParameters, 'functionName'), date_trunc('month', eventTime), useridentity.arn ORDER BY month DESC, countOfLambdaInvocations DESC"
